topic,words,answer
Core modules,core module modules,<br>- <i>http</i> - classes methods and events to create NodeJS http server<br>- <i>url</i> - methods for URL resolution and parsing<br>- <i>querystring</i> - methods to deal with query strings (ecode decode escape stringify parse)<br>- <i>path</i> - path module includes methods to deal with file paths<br>- <i>fs</i> - classes methods and events to work with file system; all methods have <i>sync</i> and <i>async</i> forms<br>- <i>stream</i> - streaming API for working with stream consumers and stream implementers<br>- <i>util</i> - useful utility functions
REPL,REPL read eval print,<i>REPL (Read Eval Print Loop)<i> - represents the environment like console or shell where a command is entered and system responds with an output. Node comes bundled with a REPL environment. It performs the following tasks:<br><br><i>Read</i> - reads user input and parses it into JS data-structure and stores in memory<br><i>Eval</i> - evaluates the data structure<br><i>Print</i> - prints the result<br><i>Loop</i> - loops the above command until user press <i>ctrl-c twice</i>
Event emitter,event emitter,All objects that emit events are members of <i>EventEmitter</i> class. These objects expose <i>eventEmitter.on()</i> function that allows one or more functions to be attached to named events emitted by the object. When <i>EventEmitter</i> object emits an event all the attached functions are called <i>synchronously</i>.
Buffer class,buffer class,<i>Buffer class</i> - global class (can be accessed in application without importing its module) which is a kind of array of integers and corresponds to a raw memory allocation outside the V8 heap. <i>Buffer</i> cannot be resized.
Streams,stream streams,<i>Streams</i> - objects that let you read data from a source or write data to a destination continuously (with changes over time). In Node there are four types of streams:<br><i>readable</i> - for read operations<br><i>writable</i> - for write operations<br><i>duplex</i> - for read and write operations<br><i>transform</i> - type of <i>duplex</i> stream where output is computed based on input
Chaining,chaining,<i>Chanining</i> - mechanism to connect output of one stream to another stream and create a chain of multiple stream operations. It is normally used with piping operations.
Callback hell,callback call back hell,Async function requires callback as a return parameter. When multiple async functions are chained together then callback hell situation comes up.<br><br>Ways to avoid <i>callback hell</i>:<br>1. <i>Modularity</i> - split the logic into smaller modules.<br>2. <i>Async mechanism</i> - NodeJS module providing a sequential flow of execution (by means of methods <i>waterfall() map() series()</i>).<br>3. <i>Promises</i> - promises give a way to write seamless async code by means of their instanse (<i>then() catch()</i>) and static methods(<i>all() any() race()</i>). <br>4. <i>Generators (function* ())</i> - make a function wait and resume via the <i>yield</i> keyword. They can also suspend and resume <i>async</i> operations using constructs such as promises or and turn <i>sync</i> code into <i>async</i>.
Unhandled exceptions,unhandled exception exceptions,<i>Unhandled exceptions</i> in NodeJS can be caught at the <i>Process</i> level by attaching a handler for <i>uncaughtException</i> event:<br><i>process.on('uncaughtException'; function(err) {...}</i><br><br>However <i>uncaughtException</i> is a very crude mechanism for exception handling. An exception that has bubbled up to <i>Process</i> level means that your app might be in an undefined state and the only sensible approach would be to restart everything. The preferred way is to add another layer between your application and NodeJS process which is called <i>domain</i>. <i>Domains</i> provide a way to handle multiple different I/O operations as a single group. So by having your application or part of it running in a separate domain you can safely handle exceptions at the <i>domain</i> level before they reach the <i>Process</i> level.
Domain,domain,<i>Domains</i> provide a way to handle multiple different I/O operations as a single group. So by having your application or part of it running in a separate domain you can safely handle exceptions at the <i>domain</i> level before they reach the <i>Process</i> level.
Piping,piping pipe pipes,<i>Piping</i> - mechanism to connect output of one stream to another stream. It is normally used to get data from one stream and to pass output of that stream to another stream.
